sr,title,note,download,extension,numD,sizeTxt,sizeKB,category,remarks,no. of data rows,no. of columns,narrow or wide(pivoted)
278,Parks & Gardens with Composting facility mapping,Data was supplied for Sarvekshan 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/401?filepath=%2FDocuments%2F401%2FParks%20%26%20Gardens%20with%20Composting%20facility%20mapping.xlsx,xlsx,10,19.87 kb,20,waste management,,,,
279,Bulk Garbage Generators,Resident Welfare Association and Commercial establishments that generate >100 kg garbage per day. In--house composting information is also included,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/398?filepath=%2FDocuments%2F398%2FBulk%20Garbage%20Generators.xlsx,xlsx,13,27.62 kb,28,waste management,,,,
280,"PublicToilets ""Ti"" WifiUsage July--Sep2018",Facilitated by Toilet Board Coalition; Tech partner Airstacks,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/395?filepath=%2FDocuments%2F395%2FPublicToilets%20--Ti--%20WifiUsage%20July--Sep2018.xlsx,xlsx,7,105.08 kb,105,toilet,,,,
281,List of Birth And Death rate for the year 2017.,This excel sheet contains list of birth and death rate in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/392?filepath=%2FDocuments%2F392%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202017..xlsx,xlsx,87,2.81 mb,2877,birth death,,,,
282,List of Birth And Death rate for the year 2014,This excel sheet contains list of birth and death rate in the city for the year 2014.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/389?filepath=%2FDocuments%2F389%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202014.xlsx,xlsx,55,2.77 mb,2836,birth death,,,,
283,List of Birth And Death rate for the year 2011,This excel sheet contains list of birth and death rate in the city for the year 2011,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/386?filepath=%2FDocuments%2F386%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202011.xlsx,xlsx,47,2.69 mb,2755,birth death,,,,
284,List of Birth And Death rate for the year 2001--2009,This excel sheet contains list of birth and death rate in the city for the year 2001--2009,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/383?filepath=%2FDocuments%2F383%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%202001--2009.xlsx,xlsx,57,19.9 mb,20378,birth death,,,,
285,List of Birth And Death rate for the year 1991--2000,This excel sheet contains list of birth and death rate in the city for the year 1991--2000.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/380?filepath=%2FDocuments%2F380%2FList%20of%20Birth%20And%20Death%20rate%20for%20the%20year%201991--2000.xlsx,xlsx,56,20.22 mb,20705,birth death,,,,
286,Air pollution statistics for November 2016 under Pmc,This excel sheet contains Air pollution Statistics in the city for November 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/377?filepath=%2FDocuments%2F377%2FAir%20pollution%20statistics%20for%20November%20%202016%20under%20Pmc.xlsx,xlsx,40,12.78 kb,13,air pollution,,,,
287,Yearly average of dissolved oxygen in the city,This excel sheet contains the data of yearly Average of Dissolved Oxygen in the city under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/374?filepath=%2FDocuments%2F374%2FYearly%20average%20of%20dissolved%20oxygen%20in%20the%20city.xlsx,xlsx,66,10.22 kb,10,water pollution,,,,
288,Wind rose data for the year 2016--17,This excel sheet contains the data of wind rose in the city for the year 2016--17.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/371?filepath=%2FDocuments%2F371%2FWind%20rose%20data%20for%20the%20year%202016--17.xls,xls,71,384 kb,384,weather,,,,
289,List of different species of Fish in the city,This excel sheet contains list of different species of fish in the city.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/368?filepath=%2FDocuments%2F368%2FList%20of%20different%20species%20of%20Fish%20in%20the%20city.xlsx,xlsx,91,8.52 kb,9,environment,,,,
290,List of retailers in the city under PMC,This excel sheet contains list of retailers under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/365?filepath=%2FDocuments%2F365%2FList%20of%20retailers%20in%20the%20city%20under%20PMC.xlsx,xlsx,185,48.17 kb,48,infrastructure,,,,
291,Monthly Rain statistics for the year 2016--17,This excel sheet contains monthly statistics of rainfall in the city for the year 2016--17.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/362?filepath=%2FDocuments%2F362%2FMonthly%20Rain%20statistics%20for%20the%20year%202016--17.xls,xls,90,251.5 kb,252,weather,,,,
292,List of mandis under PMC,This excel sheet contains list of mandais under PMC area.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/359?filepath=%2FDocuments%2F359%2FList%20of%20mandis%20under%20PMC.xlsx,xlsx,71,9.99 kb,10,infrastructure,,,,
293,Places to dispose E--waste in the city,This excel sheet contains information related to different types of places available dump e--waste.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/356?filepath=%2FDocuments%2F356%2FPlaces%20to%20dispose%20E--waste%20in%20the%20city.xlsx,xlsx,85,9.5 kb,10,waste management,,,,
294,Aadhar Enrollment centres under PMC,This excel sheet contains aadhar enrollment centres under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/353?filepath=%2FDocuments%2F353%2FAadhar%20Enrollment%20centres%20under%20PMC.xlsx,xlsx,101,12.48 kb,12,infrastructure,,,,
295,Slum details under Bibwewadi area for the year 2017 under PMC,This excel sheet contains information related to the slums under Bibwewadi area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/350?filepath=%2FDocuments%2F350%2FSlum%20details%20under%20Bibwewadi%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,111,38.5 kb,38,slum,,,,
296,Slum details under Kasba Vishrambaugwada area for the year 2017 under PMC,This excel sheet contains information related to the slums under Kasba Vishrambaugwada area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/347?filepath=%2FDocuments%2F347%2FSlum%20details%20under%20Kasba%20Vishrambaugwada%20%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,99,32 kb,32,slum,,,,
297,Slum details under Nagar road area for the year 2017 under PMC,This excel sheet contains information related to the slums under Nagar road area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/344?filepath=%2FDocuments%2F344%2FSlum%20details%20under%20Nagar%20road%20area%20for%20the%20year%202017%20under%20PMC.xls,xls,95,33 kb,33,slum,,,,
298,Slum details under Warje Karve Nagar Area for the year 2017 under PMC,This excel sheet contains information related to the slums under Warje karve nagar area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/341?filepath=%2FDocuments%2F341%2FSlum%20details%20ward%20wise%20for%20the%20year%202017%20under%20PMC.xls,xls,142,82 kb,82,slum,,,,
299,Slum details under Aundh area for the year 2017 under PMC,This excel sheet contains information related to the slums under Aundh area for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/338?filepath=%2FDocuments%2F338%2FSlum%20details%20ward%20wise%20for%20the%20year%202017%20under%20PMC.xls,xls,127,191.5 kb,192,slum,,,,
300,Noise pollution statistics for march 2017,This excel sheet contains statistics of noise pollution in the city for march 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/335?filepath=%2FDocuments%2F335%2FNoise%20pollution%20statistics%20for%20march%202017.xlsx,xlsx,71,13.02 kb,13,noise pollution,,,,
301,Noise pollution statistics for December 2016,This excel sheet contains statistics of noise pollution in the city for December 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/332?filepath=%2FDocuments%2F332%2FNoise%20pollution%20statistics%20for%20December%202016.xlsx,xlsx,48,14.08 kb,14,noise pollution,,,,
302,Noise pollution statistics for September 2016,This excel sheet contains statistics of noise pollution in the city for September 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/329?filepath=%2FDocuments%2F329%2FNoise%20pollution%20statistics%20for%20September%202016.xlsx,xlsx,66,13.86 kb,14,noise pollution,,,,
303,Noise pollution statistics for June 2016,This excel sheet contains statistics of noise pollution in the city for June 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/326?filepath=%2FDocuments%2F326%2FNoise%20pollution%20statistics%20for%20June%202016.xlsx,xlsx,52,16.56 kb,17,noise pollution,,,,
304,Noise pollution statistics for march 2016,This excel sheet contains statistics of noise pollution in the city for march 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/323?filepath=%2FDocuments%2F323%2FNoise%20pollution%20statistics%20for%20march%202016.xlsx,xlsx,56,13.16 kb,13,noise pollution,,,,
305,water pollution statistics for January 2017,This excel sheet contains water pollution statistics for January 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/320?filepath=%2FDocuments%2F320%2Fwater%20pollution%20statistics%20for%20January%202017.xlsx,xlsx,61,24.1 kb,24,water pollution,,,,
306,water pollution statistics for October 2016,This excel sheet contains water pollution statistics for October 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/317?filepath=%2FDocuments%2F317%2Fwater%20pollution%20statistics%20for%20October%202016.xlsx,xlsx,47,23.4 kb,23,water pollution,,,,
307,water pollution statistics for July 2016,This excel sheet contains water pollution statistics for July 2016,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/314?filepath=%2FDocuments%2F314%2Fwater%20pollution%20statistics%20for%20July%202016.xlsx,xlsx,53,22.16 kb,22,water pollution,,,,
308,water pollution statistics for April 2016,This excel sheet contains water pollution statistics for April 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/311?filepath=%2FDocuments%2F311%2Fwater%20pollution%20statistics%20for%20April%202016.xlsx,xlsx,57,21.85 kb,22,water pollution,,,,
309,graphical presentation of Chemical oxygen level of water in the city for 2016--2018,This excelsheet contains Chemical oxygen demand level of water in city for the year 2012--2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/308?filepath=%2FDocuments%2F308%2Fgraphical%20presentation%20of%20Chemical%20oxygen%20level%20of%20water%20in%20the%20city%20for%202016--2018.xlsx,xlsx,72,292.28 kb,292,water pollution,,,,
310,Air pollution statistics for March 2017,This excel sheet contains air pollution statistics for March 2017,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/305?filepath=%2FDocuments%2F305%2FAir%20pollution%20statistics%20for%20March%202017.xlsx,xlsx,49,11.43 kb,11,air pollution,,,,
311,Air pollution statistics for December 2016,This excel sheet contains air pollution statistics for December 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/302?filepath=%2FDocuments%2F302%2FAir%20pollution%20statistics%20for%20December%202016.xlsx,xlsx,57,12.78 kb,13,air pollution,,,,
312,Air pollution statistics for September 2016,This excel sheet contains air pollution statistics for September 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/299?filepath=%2FDocuments%2F299%2FAir%20pollution%20statistics%20for%20September%202016.xlsx,xlsx,46,12.57 kb,13,air pollution,,,,
313,Air pollution statistics for June 2016,This excel sheet contains air pollution statistics for June 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/296?filepath=%2FDocuments%2F296%2FAir%20pollution%20statistics%20for%20June%202016.xlsx,xlsx,44,12.55 kb,13,air pollution,,,,
314,Air pollution statistics for March 2016,This excel sheet contains air pollution statistics for march 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/293?filepath=%2FDocuments%2F293%2FAir%20pollution%20statistics%20for%20March%202016.xlsx,xlsx,61,11.57 kb,12,air pollution,,,,
315,Total quantity of waste collected for November 2017 under PMC,This excel sheet contains total quantity of waste collected for November 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/290?filepath=%2FDocuments%2F290%2FTotal%20quantity%20of%20waste%20collected%20for%20November%202017%20under%20PMC.xlsx,xlsx,57,13.33 kb,13,waste management,,,,
316,Total quantity of waste collected for August 2017 under PMC,This excel sheet contains total quantity of waste collected for August 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/287?filepath=%2FDocuments%2F287%2FTotal%20quantity%20of%20waste%20collected%20for%20August%202017%20under%20PMC.xlsx,xlsx,59,12.56 kb,13,waste management,,,,
317,Total quantity of waste collected for May 2017 under PMC,This excel sheet contains total quantity of waste collected for May 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/284?filepath=%2FDocuments%2F284%2FTotal%20quantity%20of%20waste%20collected%20for%20May%202017%20under%20PMC.xlsx,xlsx,54,13.5 kb,14,waste management,,,,
318,Total quantity of waste collected for February 2017 under PMC,This excel sheet contains total quantity of waste collected for February 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/281?filepath=%2FDocuments%2F281%2FTotal%20quantity%20of%20waste%20collected%20for%20February%202017%20under%20PMC.xlsx,xlsx,58,11.69 kb,12,waste management,,,,
319,OPD & IPD report for the year 2018,This excel sheet contains OPD & IPD individual report for the year 2018 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/278?filepath=%2FDocuments%2F278%2FOPD%20%26%20IPD%20report%20for%20the%20year%202018.xls,xls,149,67 kb,67,health,,,,
320,Total number of fire brigade offices in the city,This excel sheet contains total number fire brigade offices under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/275?filepath=%2FDocuments%2F275%2FTotal%20number%20of%20fire%20brigade%20offices%20in%20the%20city.xlsx,xlsx,66,10.9 kb,11,infrastructure,,,,
321,CNG sales for the year 2016--2018,this excel sheet contains data of CNG sales for the year 2016--2018.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/272?filepath=%2FDocuments%2F272%2FCNG%20sales%20for%20the%20year%202016--2018.xlsx,xlsx,62,58.57 kb,59,transport,,,,
322,Concentration of particulate Matter2.5 in the city for the year 2017,This excel sheet contains concentration of particulate matter2.5 in the city for FY 2016 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/269?filepath=%2FDocuments%2F269%2FConcentration%20of%20particulate%20Matter2.5%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,64,306.14 kb,306,air pollution,,,,
323,Police crime statistics for the year 2017 under pune city,This excel sheet contains data related to total number of crimes registered in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/266?filepath=%2FDocuments%2F266%2FPolice%20crime%20statistics%20for%20the%20year%202017%20under%20pune%20city.xlsx,xlsx,155,9.32 kb,9,police,,,,
324,Monthly mortality data for the children under age of 5 for the year 2017,This excel sheet contains monthly mortality data for the children under age of 5 for the year 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/263?filepath=%2FDocuments%2F263%2FMonthly%20mortality%20data%20for%20the%20children%20under%20age%20of%205%20for%20the%20year%202017.xlsx,xlsx,107,214.63 kb,215,birth death,,,,
325,Detected cases and deaths due to diseases for the year 2016,This excel sheet contains detected cases and deaths due to diseases for the year 2016 under pmc.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/260?filepath=%2FDocuments%2F260%2FDetected%20cases%20and%20deaths%20due%20to%20diseases%20for%20the%20year%202016.xlsx,xlsx,59,30.2 kb,30,health,,,,
326,Dengue disease Analysis for the year 2012--14,This excel sheet contains data for the dengue cases in the city for the year 2012--14.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/257?filepath=%2FDocuments%2F257%2FDengue%20disease%20Analysis%20for%20the%20year%202012--14.xlsx,xlsx,68,22.94 kb,23,health,,,,
327,Concentration of Sulphur Dioxide in the city for FY 2017,This excel sheet contains monthly concentration of Sulphur Dioxide in the city for the year 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/254?filepath=%2FDocuments%2F254%2FConcentration%20of%20Sulphur%20Dioxide%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,49,229.63 kb,230,air pollution,,,,
328,Concentration of Nitrogen Dioxide in the city for the FY 2017,This excel sheet contains monthly concentration of Nitrogen Dioxide in the city for the FY 2016.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/251?filepath=%2FDocuments%2F251%2FConcentration%20of%20Nitrgen%20Dioxide%20in%20the%20city%20for%20the%20year%202017.xlsx,xlsx,54,239.39 kb,239,air pollution,,,,
329,Total number of solid waste collected for year 2017,This excel sheet contains statistics of total number of solid waste collected for the year 2017 under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/248?filepath=%2FDocuments%2F248%2FTotal%20number%20of%20solid%20waste%20collected%20for%20year%202017.xlsx,xlsx,86,25.11 kb,25,waste management,,,,
330,Sewage Treatment Plant Flow data for the year 2017,This excel sheet contains monthly capacity flow data of various sewage treatment Plant under PMC.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/245?filepath=%2FDocuments%2F245%2FSewage%20Treatment%20Plant%20Flow%20data%20%20for%20the%20year%202017.xlsx,xlsx,105,14.66 kb,15,treatment,,,,
331,Complaint Details received by PMC,The excel sheet contains complaint details received by Pune Corporation till 12 March 2018,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/241?filepath=%2FDocuments%2F241%2FComplaint%20Details%20received%20by%20PMC.xlsx,xlsx,186,9.45 mb,9677,complaints,,,,
332,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF OCTOBER 2017,This excel sheet contains depotwise report of BRT for the month of October 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/238?filepath=%2FDocuments%2F238%2FDEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20OCTOBER%202017.xls,xls,100,37.5 kb,38,bus,,,,
333,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF JULY 2017,This excel sheet contains depotwise report of BRT for the month of July 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/235?filepath=%2FDocuments%2F235%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20JULY%202017.xls,xls,69,36.5 kb,36,bus,,,,
334,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF APRIL 2017,This excel sheet contains depotwise report of BRT for the month of April 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/232?filepath=%2FDocuments%2F232%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20APRIL%202017.xlsx,xlsx,58,15.84 kb,16,bus,,,,
335,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF OCTOBER 2017,This excel sheet contains depotwise report of PMPML for the month of October 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/229?filepath=%2FDocuments%2F229%2F%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20OCTOBER%202017.xlsx,xlsx,61,33.65 kb,34,bus,,,,
336,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF JULY 2017,This excel sheet contains depotwise report of PMPML for the month of July 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/226?filepath=%2FDocuments%2F226%2F%20%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20JULY%202017.xlsx,xlsx,66,34.92 kb,35,bus,,,,
337,DEPOTWISE STATISTICAL REPORT FOR THE MONTH OF APRIL 2017,This excel sheet contains depotwise report of PMPML for the month of April 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/223?filepath=%2FDocuments%2F223%2F%20%20DEPOTWISE%20%20STATISTICAL%20REPORT%20%20FOR%20%20THE%20%20MONTH%20%20OF%20%20APRIL%202017.xlsx,xlsx,60,34.17 kb,34,bus,,,,
338,Property tax Analysis for the year 2016--17,This excel sheet contains Analysis of Property tax collection for the year 2016--17.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/219?filepath=%2FDocuments%2F219%2FProperty%20tax%20Analysis%20for%20the%20year%202016--17.xlsx,xlsx,106,42.77 kb,43,property tax,,,,
339,Water Distribution from the Plants in Pune,This excel sheet contains monthly water distribution from the available plants in Pune.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/216?filepath=%2FDocuments%2F216%2FWater%20Distribution%20from%20the%20Plants%20in%20Pune.xlsx,xlsx,185,14.11 kb,14,water,,,,
340,Water Consumption by the citizens for the month of December 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of December 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/213?filepath=%2FDocuments%2F213%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20December%202017.xlsx,xlsx,100,11.23 kb,11,water,,,,
341,Water Consumption by the citizens for the month of August 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of August 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/210?filepath=%2FDocuments%2F210%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20August%202017.xlsx,xlsx,76,11.22 kb,11,water,,,,
342,Water Consumption by the citizens for the month of May 2017,The Excel sheet contains water consumption by the citizens of Pune for the month of May 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/207?filepath=%2FDocuments%2F207%2FWater%20Consumption%20by%20the%20citizens%20for%20the%20month%20of%20May%202017.xlsx,xlsx,75,11.3 kb,11,water,,,,
343,Water Consumption by the citizen for the month of February 2017,The excel sheet contains water consumption by the citizen of Pune for the month of February 2017.,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/204?filepath=%2FDocuments%2F204%2FWater%20Consumption%20by%20the%20citizen%20for%20the%20month%20of%20February%202017.xlsx,xlsx,122,11.63 kb,12,water,,,,
344,Maha e--Seva Kendra,Maha e--Seva Kendra Details under PMC,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/201?filepath=%2FDocuments%2F201%2FMaha%20e--Seva%20Kendra.xlsx,xlsx,146,10.29 kb,10,infrastructure,,,,
345,PMC Sport Complex,PMC Sport Complex GIS Points,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/198?filepath=%2FDocuments%2F198%2FPMC%20Sport%20Complex.xlsx,xlsx,151,9.63 kb,10,infrastructure,,,,
346,Police Stations,Police Station details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/195?filepath=%2FDocuments%2F195%2FPolice%20Stations.xlsx,xlsx,348,13.47 kb,13,infrastructure,,,,
347,Government Offices,Government Offices Details,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/192?filepath=%2FDocuments%2F192%2FGovernment%20Offices.xlsx,xlsx,427,20.44 kb,20,infrastructure,,,,
348,Museum,Museum Details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/189?filepath=%2FDocuments%2F189%2FMuseum.xlsx,xlsx,147,10.08 kb,10,infrastructure,,,,
349,Dispensary,Dispensary details in pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/186?filepath=%2FDocuments%2F186%2FDispensary.xlsx,xlsx,135,10.51 kb,11,infrastructure,,,,
350,Bus Depot,Bus Depot details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/183?filepath=%2FDocuments%2F183%2FBus%20Depot.xlsx,xlsx,182,9.96 kb,10,bus,,,,
351,Hospital,Hospital details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/180?filepath=%2FDocuments%2F180%2FHospital.xlsx,xlsx,255,19.55 kb,20,infrastructure,,,,
352,ATM,ATM Details in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/177?filepath=%2FDocuments%2F177%2FATM.xlsx,xlsx,165,12.65 kb,13,infrastructure,,,,
353,List Of Heritage Places,Heritage Places in Pune,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/174?filepath=%2FDocuments%2F174%2FList%20Of%20Heritage%20Places%20.xlsx,xlsx,1026,23.2 kb,23,infrastructure,,,,
354,List of Hawkers/ Vendors in Vishram Baug Wada,"The data set (currently in Marathi) include Temporary Hawker ID, Full Name, Name of Business, Business Address and Grade for Hawkers in Aundh ward office area.",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/168?filepath=%2FDocuments%2F168%2FList%20of%20Hawkers--%20Vendors%20in%20Vishram%20Baug%20Wada.pdf,pdf,440,5.41 mb,5540,hawker--vendor,,,,
355,Process Manual Encroachment Department,Process Manual and working,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/165?filepath=%2FDocuments%2F165%2FProcess%20Manual%20Encroachment%20Department%20.pdf,pdf,148,83.48 kb,83,infrastructure,,,,
356,Winning Candidates List,Winning Candidates List,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/162?filepath=%2FDocuments%2F162%2FWinning%20Candidates%20List.pdf,pdf,192,56.79 kb,57,elections,,,,
357,Warje Malwadi_Ward 32,Warje Malwadi Ward 32 polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/159?filepath=%2FDocuments%2F159%2FWarje%20Malwadi_Ward%2032.pdf,pdf,163,151.14 kb,151,elections,,,,
358,Kondhwa Khurd_Meetha Nagar_Ward 27,"Kondhwa Khurd,Meetha Nagar Ward 27 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/156?filepath=%2FDocuments%2F156%2FKondhwa%20Khurd_Meetha%20Nagar_Ward%2027.pdf,pdf,232,163.71 kb,164,elections,,,,
359,Ramtekdi_Sayyed Nagar_Ward 24,"Ramtekdi,Sayyed Nagar Ward 24 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/153?filepath=%2FDocuments%2F153%2FRamtekdi_Sayyed%20Nagar_Ward%2024.pdf,pdf,151,120.33 kb,120,elections,,,,
360,koregaon Park_Ghorpadi_Ward 21,"Koregaon Park,Ghorpadi ward 21 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/150?filepath=%2FDocuments%2F150%2Fkoregaon%20Park_Ghorpadi_Ward%2021.pdf,pdf,160,175.65 kb,176,elections,,,,
361,Khadakmal Ali_Phule Peth_Ward 18,"Khadakmal Ali , Phule Peth Ward 18 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/147?filepath=%2FDocuments%2F147%2FKhadakmal%20Ali_Phule%20Peth_Ward%2018.pdf,pdf,127,230.52 kb,231,elections,,,,
362,Shanivar Peth_Sadashiv Pedh_Ward 15,"Shanivar Peth,Sadashiv Peth Ward 15 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/144?filepath=%2FDocuments%2F144%2FShanivar%20Peth_Sadashiv%20Pedh_Ward%2015.pdf,pdf,165,138.15 kb,138,elections,,,,
363,MayurColony_Dhanukar Colony_Ward 12,"Mayur Colony , Dhanukar Colony Ward 12 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/141?filepath=%2FDocuments%2F141%2FMayurColony_Dhanukar%20Colony_Ward%2012.pdf,pdf,144,111.15 kb,111,elections,,,,
364,Baner_Balewadi_Pashan_Ward 9,"Baner,Balewadi,Pashan Ward 9 polling",http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/138?filepath=%2FDocuments%2F138%2FBaner_Balewadi_Pashan_Ward%209.pdf,pdf,153,180.73 kb,181,elections,,,,
365,Yerwada_Ward 6,Yerwada Polling Ward 6,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/135?filepath=%2FDocuments%2F135%2FYerwada_Ward%206.pdf,pdf,146,203.11 kb,203,elections,,,,
366,vimannagar_ward 3,Vimannagar ward polling,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/132?filepath=%2FDocuments%2F132%2Fvimannagar_ward%203.pdf,pdf,157,114.44 kb,114,elections,,,,
367,Ward Wise Polling Percent,PMC General Elections,http://opendata.punecorporation.org/Citizen/CitizenDatasets/Download/129?filepath=%2FDocuments%2F129%2FWard%20Wise%20Polling%20Percent.pdf,pdf,145,54.69 kb,55,elections,,,,
